"Date","Team","Opponent","GameOutcome","Quarter","Time","ConvTime","Location","ShotOutcome","AssistPlayer","Season","SeasonType","ShotType","OwnScore","OpponentScore","OwnScoreBefore","OpponentScoreBefore","DiffBefore"
"2003-11-16","TOR","HOU","W","4th","0:07.2",7,"Home","Make","Vince Carter","2004","Regular","3","83","83",80,"83",-3
"2004-03-24","TOR","HOU","L","OT","0:33.1",33,"Away","Make","Jalen Rose","2004","Regular","3","89","90",86,"90",-4
"2003-12-14","TOR","MIA","L","4th","0:00.1",0,"Home","Miss","","2004","Regular","3","89","90",89,"90",-1
"2004-12-08","TOR","DET","L","OT","0:07.9",7,"Away","Miss","","2005","Regular","3","84","88",84,"88",-4
"2006-01-18","TOR","POR","L","4th","0:00.3",0,"Away","Miss","","2006","Regular","3","94","96",94,"96",-2
"2007-01-24","TOR","NOK","W","4th","1:01.0",61,"Home","Make","Jorge Garbajosa","2007","Regular","3","83","83",80,"83",-3
"2006-11-08","TOR","PHI","W","4th","0:06.1",6,"Home","Make","","2007","Regular","3","105","102",102,"102",0
"2006-12-06","TOR","CLE","L","4th","0:08.8",8,"Away","Miss","","2007","Regular","3","91","95",91,"95",-4
"2006-12-06","TOR","CLE","L","4th","0:01.9",1,"Away","Miss","","2007","Regular","3","91","95",91,"95",-4
"2006-11-20","TOR","UTA","L","4th","0:00.9",0,"Away","Miss","","2007","Regular","3","96","101",96,"101",-5
"2008-04-02","TOR","ATL","L","4th","0:51.9",51,"Away","Miss","","2008","Regular","3","107","104",107,"104",3
"2008-02-22","TOR","NYK","L","4th","0:20.9",20,"Away","Miss","","2008","Regular","3","95","99",95,"99",-4
"2008-04-04","TOR","CHA","L","4th","0:11.9",11,"Home","Miss","","2008","Regular","3","100","105",100,"105",-5
"2009-04-13","TOR","WAS","W","4th","0:09.9",9,"Away","Make","Jose Calderon","2009","Regular","3","97","96",94,"96",-2
"2008-11-21","TOR","NJN","L","OT","0:05.8",5,"Home","Make","","2009","Regular","3","124","125",121,"125",-4
"2010-03-09","TOR","LAL","L","4th","0:09.5",9,"Away","Make","Jose Calderon","2010","Regular","3","107","107",104,"107",-3
"2011-04-27","MIA","PHI","W","4th","1:32.0",92,"Home","Miss","","2011","Playoffs","3","90","88",90,"88",2
"2010-12-18","MIA","WAS","W","4th","0:27.7",27,"Away","Make","Dwyane Wade","2011","Regular","3","89","91",86,"91",-5
"2010-11-20","MIA","MEM","L","4th","0:31.8",31,"Away","Make","Eddie House","2011","Regular","3","93","95",90,"95",-5
"2010-11-05","MIA","NOH","L","4th","0:07.5",7,"Away","Make","LeBron James","2011","Regular","3","93","94",90,"94",-4
