PlayerName,PlayerID,fga_clutch,fgm_clutch,fg_perc_clutch,x2fga_clutch,x2fgm_clutch,x2fg_perc_clutch,x3fga_clutch,x3fgm_clutch,x3fg_perc_clutch,efg_clutch,fga_all,fgm_all,fg_perc_all,x2fga_all,x2fgm_all,x2fg_perc_all,x3fga_all,x3fgm_all,x3fg_perc_all,efg_all,fga_non_clutch,fgm_non_clutch,fg_perc_non_clutch,x2fga_non_clutch,x2fgm_non_clutch,x2fg_perc_non_clutch,x3fgm_non_clutch,x3fga_non_clutch,x3fg_perc_non_clutch,efg_non_clutch,efg_comp,x3fg_perc_comp
Arron Afflalo,afflaar01,205,66,0.322,107,41,0.383,98,25,0.255,0.383,6662,2999,0.450,4465,2158,0.483,2197,841,0.383,0.513,6457.000,2933.000,0,4358.000,2117.000,0,816.000,2099.000,0.389,0.517,0.740,0.65619998
Ryan Anderson,anderry01,92,33,0.359,27,11,0.407,65,22,0.338,0.478,6208,2609,0.420,2965,1381,0.466,3243,1228,0.379,0.519,6116.000,2576.000,0,2938.000,1370.000,0,1206.000,3178.000,0.379,0.520,0.920,0.891899477
Carmelo Anthony,anthoca01,531,201,0.379,396,172,0.434,135,29,0.215,0.406,20486,9205,0.449,16871,7960,0.472,3615,1245,0.344,0.480,19955.000,9004.000,0,16475.000,7788.000,0,1216.000,3480.000,0.349,0.482,0.843,0.614766082
Gilbert Arenas,arenagi01,273,100,0.366,193,80,0.415,80,20,0.250,0.403,9270,3894,0.420,6042,2769,0.458,3228,1125,0.349,0.481,8997.000,3794.000,0,5849.000,2689.000,0,1105.000,3148.000,0.351,0.483,0.834,0.712217195
Trevor Ariza,arizatr01,146,44,0.301,56,20,0.357,90,24,0.267,0.384,8483,3619,0.427,4874,2340,0.480,3609,1279,0.354,0.502,8337.000,3575.000,0,4818.000,2320.000,0,1255.000,3519.000,0.357,0.504,0.761,0.747729084
D.J. Augustin,augusdj01,93,31,0.333,42,13,0.310,51,18,0.353,0.430,5187,2072,0.399,2961,1248,0.421,2226,824,0.370,0.479,5094.000,2041.000,0,2919.000,1235.000,0,806.000,2175.000,0.371,0.480,0.896,0.952415706
Leandro Barbosa,barbole01,108,37,0.343,46,15,0.326,62,22,0.355,0.444,8228,3761,0.457,5410,2686,0.496,2818,1075,0.381,0.522,8120.000,3724.000,0,5364.000,2671.000,0,1053.000,2756.000,0.382,0.523,0.849,0.92871366
Andrea Bargnani,bargnan01,121,42,0.347,71,30,0.423,50,12,0.240,0.397,6761,2967,0.439,4957,2329,0.470,1804,638,0.354,0.486,6640.000,2925.000,0,4886.000,2299.000,0,626.000,1754.000,0.357,0.488,0.813,0.672460064
Shane Battier,battish01,138,41,0.297,56,23,0.411,82,18,0.220,0.362,7387,3208,0.434,3743,1819,0.486,3644,1389,0.381,0.528,7249.000,3167.000,0,3687.000,1796.000,0,1371.000,3562.000,0.385,0.531,0.682,0.570315419
Nicolas Batum,batumni01,144,49,0.340,43,19,0.442,101,30,0.297,0.444,6526,2843,0.436,3479,1760,0.506,3047,1083,0.355,0.519,6382.000,2794.000,0,3436.000,1741.000,1,1053.000,2946.000,0.357,0.520,0.854,0.831006178
Bradley Beal,bealbr01,173,57,0.329,92,34,0.370,81,23,0.284,0.396,5444,2400,0.441,3566,1663,0.466,1878,737,0.392,0.509,5271.000,2343.000,0,3474.000,1629.000,0,714.000,1797.000,0.397,0.512,0.773,0.714648822
